Station ID,Functional Class,Lat/Long,AADT_2019,Truck%_2019,AADT_2018,Truck%_2018,AADT_2017,Truck%_2017,AADT_2016,Truck%_2016,AADT_2015,Truck%_2015,AADT_2014,Truck%_2014,AADT_2013,Truck%_2013,AADT_2012,Truck%_2012,AADT_2011,Truck%_2011,AADT_2010,Truck%_2010
"001-0101",3U : Urban Principal Arterial - Other,"31.715566, -82.381862",4080,16.2,4110,16.2,4030,16.2,4090,30.6,3080,21.9,3000,15.6,2910,15.6,2820,14.8,2850,14.8,2280,
"001-0105",3U : Urban Principal Arterial - Other,"31.767425, -82.353494",12300,16.2,12400,16.2,9160,,9020,14.2,8720,14.2,8480,14.6,8770,12.7,8790,12.7,12000,,12200,
"001-0107",3U : Urban Principal Arterial - Other,"31.773846, -82.350339",13800,16.5,13900,16.5,13600,16.5,12900,6.5,13500,8.7,12400,17.5,12400,17.5,12800,11.8,12900,11.8,14100,11.8
"001-0109",3U : Urban Principal Arterial - Other,"31.779420, -82.348340",14700,5.7,14800,5.7,12700,,12500,10.0,12100,10.0,11800,10.2,9570,10.3,9600,10.3,11800,,12100,
"001-0112",3U : Urban Principal Arterial - Other,"31.786264, -82.350183",8220,12.2,8270,12.2,8110,12.2,8190,24.8,9560,9.7,7700,12.4,7620,12.4,7520,9.9,7600,9.9,8820,13.0
"001-0114",3U : Urban Principal Arterial - Other,"31.836961, -82.350464",7090,8.3,7130,8.4,5770,,5680,21.9,5490,21.9,5340,22.5,5100,12.3,5100,12.3,6170,,6280,
"001-0118",3R : Rural Principal Arterial - Other,"31.909230, -82.356209",6290,7.9,6110,7.9,6080,7.9,6150,11.9,5450,24.0,5200,15.6,5140,15.6,4180,,4230,,4780,
"001-0121",4R : Rural Minor Arterial,"31.545377, -82.207381",2340,,2270,,2000,,1940,17.2,1860,17.2,1770,18.0,1570,28.3,1570,28.3,2170,,2210,
"001-0123",4R : Rural Minor Arterial,"31.619640, -82.256298",1930,13.3,1870,13.3,1860,13.3,2080,23.6,1790,34.7,1700,24.8,1620,24.7,1520,22.7,1530,22.7,1720,26.2
"001-0125",4U : Urban Minor Arterial,"31.681804, -82.302289",2090,,2110,,2090,,2060,20.4,1990,20.5,1940,21.0,1920,19.2,1920,19.2,2290,,2340,
"001-0127",4U : Urban Minor Arterial,"31.715189, -82.333479",3640,5.0,3660,5.0,3590,5.0,2650,9.5,4340,5.6,2400,17.8,2370,18.0,3070,,3090,,3670,
"001-0129",4U : Urban Minor Arterial,"31.754227, -82.351726",6280,,6320,,6210,,6120,30.5,5920,30.5,5760,31.4,5200,9.7,5210,9.7,7210,,7360,
"001-0132",4U : Urban Minor Arterial,"31.762394, -82.354235",11100,4.5,11200,4.5,11000,4.5,10700,12.8,9190,5.3,7400,9.0,7390,9.0,8140,,8180,,8350,
"001-0133",4R : Rural Minor Arterial,"31.712642, -82.520066",2220,17.5,2160,17.5,1850,,1790,28.3,1720,28.3,1640,29.7,2250,,2250,,1700,,1730,
"001-0134",4R : Rural Minor Arterial,"31.747500, -82.544053",2280,7.1,2210,7.1,2200,7.2,1410,9.1,1370,,1300,,1280,,1720,,1730,,1880,
"001-0136",3R : Rural Principal Arterial - Other,"31.834717, -82.509427",6900,26.1,6700,26.1,5470,,5310,22.0,5100,21.9,4850,23.1,5310,23.7,5310,23.7,5730,,5830,
"001-0138",3U : Urban Principal Arterial - Other,"31.811264, -82.442868",6810,13.2,6850,13.3,6720,13.2,5690,15.2,6840,22.2,5800,19.5,5720,19.5,5810,19.4,5870,19.4,6380,
"001-0141",3U : Urban Principal Arterial - Other,"31.780829, -82.355952",13200,16.4,13300,16.4,12300,,12100,19.5,11700,19.5,11400,20.0,12400,10.9,12400,11.0,13500,,13800,
"001-0143",3U : Urban Principal Arterial - Other,"31.775726, -82.340068",10800,11.2,10900,11.2,10700,11.2,9340,13.4,10800,9.6,8700,17.4,8670,17.4,10200,,10300,,10200,
"001-0145",3U : Urban Principal Arterial - Other,"31.745109, -82.253006",3860,18.0,3890,17.9,3930,,3870,17.6,3740,17.6,3640,18.0,3940,23.5,3940,23.5,4080,,4150,
"001-0152",3R : Rural Principal Arterial - Other,"31.723260, -82.186845",4330,16.6,4200,16.6,4180,16.6,4470,32.1,4100,37.0,3900,25.9,3860,25.9,3600,28.8,3640,28.8,4510,
"001-0156",5R : Rural Major Collector,"31.591760, -82.272024",1060,8.5,1060,8.5,1070,8.6,860,18.7,1160,18.9,800,25.8,800,25.8,890,27.6,900,27.6,1070,
"001-0158",5R : Rural Major Collector,"31.589284, -82.218167",990,15.6,990,15.6,1010,,980,17.1,930,17.3,890,18.1,800,19.5,800,19.5,910,22.0,940,22.0
"001-0161",5R : Rural Major Collector,"31.590903, -82.179122",1220,10.6,1220,10.6,1240,10.6,590,27.8,1230,34.8,900,21.3,900,21.3,900,,910,,1040,
"001-0163",4R : Rural Minor Arterial,"31.577552, -82.208543",580,,560,,570,,550,20.9,530,20.9,500,22.2,490,29.4,490,29.4,500,29.6,510,29.6
"001-0165",4R : Rural Minor Arterial,"31.659805, -82.207853",1110,9.6,1080,9.6,1070,9.7,1350,35.0,1130,35.0,900,20.6,840,22.0,960,,960,,890,
"001-0169",4R : Rural Minor Arterial,"31.726543, -82.196423",1650,9.2,1600,9.3,1370,,1330,20.3,1280,20.3,1220,21.3,1230,22.0,1230,,1320,,1350,
"001-0170",4R : Rural Minor Arterial,"31.776909, -82.155205",830,12.4,800,12.5,800,12.5,810,17.8,960,24.5,700,35.0,670,34.9,720,31.0,720,31.0,670,30.3
"001-0172",4R : Rural Minor Arterial,"31.848848, -82.098418",3440,7.7,3340,7.7,3020,,2930,17.6,2810,17.7,2670,18.6,2590,27.2,2590,27.2,2950,,3010,
"001-0174",6U : Urban Minor Collector,"31.784216, -82.345941",3110,,3050,,3000,,2990,,2920,,2800,,2800,,2880,,2660,,2750,
"001-0176",6U : Urban Minor Collector,"31.788728, -82.328615",2400,,2360,,2320,,2270,17.9,2360,11.9,2310,,2310,,2370,,2410,,4660,
"001-0178",4R : Rural Minor Arterial,"31.795076, -82.280414",2580,17.0,2500,17.0,2490,17.0,640,16.1,2220,12.8,2500,13.8,2440,14.1,2160,14.2,2170,14.1,1840,14.1
"001-0181",4R : Rural Minor Arterial,"31.837396, -82.132140",2070,14.6,2010,14.6,1990,,1930,16.0,1850,16.0,1760,16.8,1860,,1860,,1730,,1770,
"001-0183",4R : Rural Minor Arterial,"31.831560, -82.086470",990,18.4,970,18.7,990,18.2,940,18.2,880,18.1,850,19.2,870,16.4,850,16.5,830,16.1,870,17.1
"001-0185",5R : Rural Major Collector,"31.602850, -82.308160",400,8.0,410,11.7,450,16.0,480,17.7,490,17.8,480,17.7,520,15.0,480,13.3,520,13.7,640,16.4
