Station ID,Functional Class,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3U : Urban Principal Arterial - Other,"31.715566, -82.381862",2019,4080,Estimated,304,357,0.07,0.087,0.0851,0.52,8480,Short Term
"001-0105",3U : Urban Principal Arterial - Other,"31.767425, -82.353494",2019,12300,Estimated,546,1450,0.227,0.672,0.0832,0.53,15500,Short Term
"001-0107",3U : Urban Principal Arterial - Other,"31.773846, -82.350339",2019,13800,Estimated,812,1466,0.052,0.106,0.0939,0.64,17400,Short Term
"001-0109",3U : Urban Principal Arterial - Other,"31.779420, -82.348340",2019,14700,Estimated,658,180,0.271,0.129,0.0985,0.61,22400,Short Term
"001-0112",3U : Urban Principal Arterial - Other,"31.786264, -82.350183",2019,8220,Estimated,447,552,0.047,0.067,0.0841,0.51,10400,Short Term
"001-0114",3U : Urban Principal Arterial - Other,"31.836961, -82.350464",2019,7090,Estimated,424,168,0.491,0.112,0.098,0.57,8930,Short Term
"001-0118",3R : Rural Principal Arterial - Other,"31.909230, -82.356209",2019,6290,Estimated,349,150,0.048,0.024,0.0791,0.56,11200,Short Term
"001-0121",4R : Rural Minor Arterial,"31.545377, -82.207381",2019,2340,Estimated,,,,,0.1229,0.8,2950,Short Term
"001-0123",4R : Rural Minor Arterial,"31.619640, -82.256298",2019,1930,Estimated,95,162,0.044,0.084,0.0838,0.8,2860,Short Term
"001-0125",4U : Urban Minor Arterial,"31.681804, -82.302289",2019,2090,Estimated,,,,,0.1355,0.8,2640,Short Term
"001-0127",4U : Urban Minor Arterial,"31.715189, -82.333479",2019,3640,Estimated,144,37,0.029,0.01,0.0945,0.8,4590,Short Term
"001-0129",4U : Urban Minor Arterial,"31.754227, -82.351726",2019,6280,Estimated,,,,,0.082,0.51,7920,Short Term
"001-0132",4U : Urban Minor Arterial,"31.762394, -82.354235",2019,11100,Estimated,370,130,0.029,0.012,0.0877,0.65,20000,Short Term
"001-0133",4R : Rural Minor Arterial,"31.712642, -82.520066",2019,2220,Estimated,146,243,0.741,0.602,0.0898,0.8,2800,Short Term
"001-0134",4R : Rural Minor Arterial,"31.747500, -82.544053",2019,2280,Estimated,111,51,0.045,0.023,0.0914,0.8,3190,Short Term
"001-0136",3R : Rural Principal Arterial - Other,"31.834717, -82.509427",2019,6900,Estimated,921,878,0.881,0.702,0.0757,0.6,8690,Short Term
"001-0138",3U : Urban Principal Arterial - Other,"31.811264, -82.442868",2019,6810,Estimated,443,459,0.057,0.067,0.0977,0.65,8660,Short Term
"001-0141",3U : Urban Principal Arterial - Other,"31.780829, -82.355952",2019,13200,Estimated,1074,1091,0.626,0.536,0.0893,0.6,16600,Short Term
"001-0143",3U : Urban Principal Arterial - Other,"31.775726, -82.340068",2019,10800,Estimated,832,378,0.065,0.035,0.086,0.51,13700,Short Term
"001-0145",3U : Urban Principal Arterial - Other,"31.745109, -82.253006",2019,3860,Estimated,244,449,0.386,0.823,0.0846,0.53,4870,Short Term
"001-0152",3R : Rural Principal Arterial - Other,"31.723260, -82.186845",2019,4330,Estimated,342,376,0.07,0.087,0.1131,0.56,5450,Short Term
"001-0156",5R : Rural Major Collector,"31.591760, -82.272024",2019,1060,Estimated,45,45,0.036,0.043,0.0931,0.8,1330,Short Term
"001-0158",5R : Rural Major Collector,"31.589284, -82.218167",2019,990,Estimated,57,97,0.304,1.418,0.0912,0.8,1310,Short Term
"001-0161",5R : Rural Major Collector,"31.590903, -82.179122",2019,1220,Estimated,93,36,0.066,0.03,0.0969,0.8,1750,Short Term
"001-0163",4R : Rural Minor Arterial,"31.577552, -82.208543",2019,580,Estimated,,,,,0.1115,0.8,770,Short Term
"001-0165",4R : Rural Minor Arterial,"31.659805, -82.207853",2019,1110,Estimated,62,45,0.051,0.041,0.0858,0.8,1780,Short Term
"001-0169",4R : Rural Minor Arterial,"31.726543, -82.196423",2019,1650,Estimated,80,72,0.313,0.438,0.1081,0.8,2200,Short Term
"001-0170",4R : Rural Minor Arterial,"31.776909, -82.155205",2019,830,Estimated,59,44,0.059,0.054,0.0955,0.8,1230,Short Term
"001-0172",4R : Rural Minor Arterial,"31.848848, -82.098418",2019,3440,Estimated,140,124,0.629,0.21,0.1455,0.8,4410,Short Term
"001-0174",6U : Urban Minor Collector,"31.784216, -82.345941",2019,3110,Estimated,,,,,0.0835,0.5,3970,Short Term
"001-0176",6U : Urban Minor Collector,"31.788728, -82.328615",2019,2400,Estimated,,,,,,,3030,Short Term
